;;dans quel type d'activité je m'engage;à quel niveau je m'engage;Pourquoi je m'engage ;Pourquoi je m'engage ;Pourquoi je m'engage ;Pourquoi je m'engage ;Comment je préfère m'engager ;Comment je préfère m'engager ;Comment je préfère m'engager ;Comment je préfère m'engager 
;;QUOI ?;Où ?;POURQUOI ?;POURQUOI ?;POURQUOI ?;POURQUOI ?;COMMENT ? ;COMMENT ? ;COMMENT ? ;COMMENT ? 
;;… sous la forme de …;J'explore le niveau …;Je veux développer …;Je veux développer …;Je veux développer …;Je veux développer …;Ce que j'ai plaisir à faire, c'est …;Ce que j'ai plaisir à faire, c'est …;Ce que j'ai plaisir à faire, c'est …;Ce que j'ai plaisir à faire, c'est …
Mouse-over;;;;Savoir-être, développement personnel, outils du citoyen responsable, défense des valeurs, éthique;Savoir-faire, compétences techniques de management et d'entrepreneuriat, relations économiques, réseau business, apprentissage par essai-erreur;Diplomatie internationale, interculturalité, communauté internationale unie, franchir les frontières, construction de projets inter-organisations;Service aux territoires et aux communautés, benchmark des actions, réflexion pour construire un monde meilleur;se former, monter en compétence et grandir;expérimenter l'exercice du pouvoir prendre la responsabilité, transmettre, diriger, coacher;célébrer les temps forts, fêter les réussites , marquer les jalons, réserver du temps pour prendre plaisir collectivement;faire de nouveaux contacts, élargir son réseau de pairs, échanger des cartes de visite, se réunir autour d'une table
Nom long;;;;Développement individuel;Entreprise et compétences professionnelles ;Coopération internationale;Service à la communauté;Apprendre;Prendre des responsabilités;Célébrer;Se rencontrer
Nom court;Opportunités;Forme;NIVEAU;Individu;Entreprise;International;Communauté;Apprendre;Prendre des responsabilités;Célébrer;Se rencontrer
;Écrire un dossier récompense régional;Concours;R;0.0;0.0;0.0;100.0;40.0;10.0;50.0;0.0
;Être jury des récompenses à la JCEF;Concours;N;0.0;0.0;0.0;100.0;30.0;70.0;0.0;0.0
;Écrire un dossier récompense national;Concours;N;0.0;0.0;0.0;100.0;30.0;60.0;10.0;0.0
;Proposer une personne au concours TOYP au congrès mondial;Concours;M;25.0;30.0;10.0;35.0;0.0;0.0;40.0;60.0
;Être jury des récompenses en conférence de zone;Concours;Z;20.0;0.0;40.0;40.0;30.0;60.0;0.0;10.0
;Être jury des récompenses au congrès mondial;Concours;M;20.0;0.0;40.0;40.0;30.0;60.0;0.0;10.0
