Pilier_Principal,Engagement,Forme,Nom,Niveau,Individu,Entreprise,Cooperation,Communaute,Apprendre,Responsabiliser,Célébrer,Rencontrer
Pillier Communauté,Apprendre,Equipe,Membre de comité,N,30.0,0.0,0.0,70.0,50.0,0.0,0.0,50.0
Pillier Communauté,Apprendre,Equipe,Membre de commission,L,20.0,0.0,0.0,80.0,50.0,0.0,0.0,50.0
Pillier Communauté,Célébrer,Concours,écrire un dossier récompense régional,R,0.0,0.0,0.0,100.0,40.0,10.0,50.0,0.0
Pillier Communauté,Prendre des responsabilités,Concours,être jury des récompenses à la JCEF,N,0.0,0.0,0.0,100.0,30.0,70.0,0.0,0.0
Pillier Communauté,Prendre des responsabilités,Concours,écrire un dossier récompense national,N,0.0,0.0,0.0,100.0,30.0,60.0,10.0,0.0
Pillier Communauté,Prendre des responsabilités,Equipe,Devenir Ambassadeur JCI JVC,M,10.0,0.0,10.0,80.0,10.0,60.0,0.0,30.0
Pillier Communauté,Prendre des responsabilités,Equipe,Devenir Ambassadeur JCI communication,Z,10.0,0.0,30.0,60.0,10.0,60.0,0.0,30.0
Pillier Communauté,Prendre des responsabilités,Equipe,Chargé de mission,"L, R",30.0,0.0,0.0,70.0,40.0,60.0,0.0,0.0
Pillier Communauté,Prendre des responsabilités,Equipe,Membre du bureau,"L, R",20.0,0.0,0.0,80.0,30.0,70.0,0.0,0.0
Pillier Communauté,Prendre des responsabilités,Equipe,Président,"L, R",10.0,0.0,0.0,90.0,20.0,80.0,0.0,0.0
Pillier Communauté,Prendre des responsabilités,Equipe,directeur de commission,L,20.0,0.0,0.0,80.0,20.0,60.0,0.0,20.0
Pillier Communauté,Prendre des responsabilités,Equipe,mandat externe,"L, R, N",20.0,0.0,0.0,80.0,0.0,70.0,0.0,30.0
Pillier Communauté,Prendre des responsabilités,Equipe,Prendre des responsabilités en bureau national,N,30.0,10.0,20.0,40.0,10.0,70.0,10.0,10.0
Pillier Communauté,Prendre des responsabilités,Projet,Monter des actions flash,L,0.0,0.0,0.0,100.0,20.0,60.0,0.0,20.0
Pillier Communauté,Prendre des responsabilités,Projet,organiser un journée de formation régionale ou locale ,"L, R",30.0,0.0,0.0,70.0,20.0,50.0,10.0,20.0
Pillier Communauté,Prendre des responsabilités,Projet,organiser 1 congrès régional,R,30.0,0.0,0.0,70.0,10.0,60.0,10.0,20.0
Pillier Communauté,Se rencontrer,Concours,Proposer 1 personne au concours TOYP au congrès mondial,M,25.0,30.0,10.0,35.0,0.0,0.0,40.0,60.0
Pillier coopération internationale,Apprendre,Equipe,Devenir Représentant JCI France pour la taskforce débats,Z,30.0,20.0,50.0,0.0,40.0,30.0,0.0,30.0
Pillier coopération internationale,Apprendre,Evenement,Participer aux conventions de l'ONU sous la banière JCI,M,0.0,10.0,50.0,40.0,30.0,30.0,10.0,30.0
Pillier coopération internationale,Célébrer,Evenement,Participer au Congrès Mondial JCI,M,30.0,20.0,40.0,10.0,20.0,0.0,40.0,40.0
Pillier coopération internationale,Célébrer,Evenement,Participer à l'European Capitals Meeting,Z,30.0,10.0,40.0,20.0,20.0,0.0,40.0,40.0
